req_id,req_text
CS1000,"Upon receipt of a No-Op command, CS shall increment the CS Valid Command Counter and generate an event message."
CS1001,"Upon receipt of a Reset command, CS shall reset the following housekeeping variables to a value of zero:

a) Valid Ground Command Counter
b) Ground Command Rejected Counter
c) Non-volatile CRC Miscompare Counter
d) OS Code Segment CRC Miscompare Counter
e) cFE Code Segment CRC Miscompare Counter
f) Application CRC Miscompare Counter
g) Table CRC Miscompare Counter
h) User-defined Memory CRC Miscompare Counter
i) Checksum Pass Counter (number of passes through all of the checksum areas)"
CS1002,"For all CS commands, if the length contained in the message header is not equal to the expected length, CS shall reject the command and issue an event message."
CS1003,"If CS accepts any command as valid, CS shall execute the command, increment the CS Valid Command Counter and issue an event message"
CS1004,"If CS rejects any command, CS shall abort the command execution, increment the CS Command Rejected Counter and issue an error event message"
CS1005,CS shall use the <MISSION_DEFINED> CRC algorithm to compute the CRCs for any segment
CS2001,"The Checksum App shall calculate CRCs for each Table-Defined Non-volatile segment and compare them against the corresponding baseline Non-volatile segment CRCs if:

a) Checksumming (as a whole) is Enabled
b) Non-volatile segment checksumming is Enabled
c) Checksumming for the individual Non-volatile segment is Enabled"
CS2001.1,"If the Non-volatile segment CRC is not equal to the corresponding baseline CRC, CS shall increment the Non-volatile CRC Miscompare Counter and send an event message"
CS2001.2,"If the table-defined segement is invalid, CS shall send an error event message"
CS2002,"Upon receipt of a Enable Non-volatile Checksumming command, CS shall enable non-volatile checksumming"
CS2003,"Upon receipt of a Disable Non-volatile Checksumming command, CS shall disable non-volatile checksumming"
CS2004,"Upon receipt of a Enable Non-volatile Segment command, CS shall enable checksumming of the command-specified non-volatile segment"
CS2005,"Upon receipt of a Disable Non-volatile Segment command, CS shall disable checksumming of the command-specified non-volatile segment"
CS2006,"Upon receipt of a Recompute Non-volatile Checksum Segment command, CS shall:
a) Recompute the baseline checksum for the command-specified non-volatile segment
b) Set the Recompute In Progress Flag to TRUE"
CS2006.1,"If CS is already processing a Recompute CRC command or a One Shot CRC command, CS shall reject the command."
CS2006.2,"Once the baseline CRC is computed, CS shall:

a) Generate an informational event message containing the baseline CRC
b) Set the Recompute In Progress Flag to FALSE"
CS2007,"Upon receipt of a Report Non-volatile Checksum Segment command, CS shall send an event message containing the baseline checksum for the command-specified non-volatile segment"
CS2008,"Upon receipt of a Get Non-volatile Checksum Segment command, CS shall send an event message containing the segment number for the command-specified non-volatile address"
CS2009,"If a command-specified segment is invalid (for any of the non-volatile memory commands where segment is a command argument), CS shall reject the command and send an event message"
CS2010,CS shall provide the ability to dump the baseline CRCs and status for the non-volatile memory segments via a dump-only table
CS3000,"Checksum shall calculate CRC for the OS code segment and compare them against the corresponding baseline OS code segment CRC if:

a) Checksumming (as a whole) is Enabled
b) OS segment checksumming is Enabled"
CS3000.1,"If the OS code segment CRC is not equal to the baseline OS code segment CRC, CS shall increment the OS Code Segment CRC Miscompare Counter and send an event message"
CS3002,"Upon receipt of a Enable OS code segment command, CS shall enable checksumming of the OS Code segment"
CS3003,"Upon receipt of a Disable OS code segment command, CS shall Disable checksumming of the OS Code segment"
CS3004,"Upon receipt of a Recompute OS code segment CRC command, CS shall:
a) Recompute the baseline CRC for the OS code segment
b) Set the Recompute In Progress Flag to TRUE"
CS3004.1,"Once the baseline CRC is computed, CS shall:

a) Generate an event message containing the baseline CRC
b) Set the Recompute In Progress Flag to FALSE"
CS3004.2,"If CS is already processing a Recompute CRC command or a One Shot CRC command, CS shall reject the command."
CS3005,"Upon receipt of a Report OS code segment CRC command, CS shall send an event message containing the baseline OS code segment CRC."
CS3006,"Checksum shall calculate CRC for the cFE code segment and compare them against the corresponding baseline cFE code segment CRC if:

a) Checksumming (as a whole) is Enabled
b) cFE segment checksumming is Enabled"
CS3006.1,"If the cFE code segment CRC is not equal to the baseline cFE code segment CRC, CS shall increment the cFE Code Segment CRC Miscompare Counter and send an event message"
